method,trades,pnl,wr,avg_pnl
Baseline,1328,8647055.049999999,49.77409638554217,6511.336634036144
VWAP_confirming,843,2037927.0699999994,46.38196915776987,2417.4698339264523
VWAP_opposing,485,6609127.980000004,55.670103092783506,13627.068000000008
Delay_5min,1302,-530055.9300000007,47.15821812596006,-407.10900921659044
Delay_10min,1287,1901120.0100000005,48.174048174048174,1477.1717249417254
Delay_15min,1242,2547273.5299999993,51.77133655394525,2050.9448711755226
Delay_20min,1162,2618189.810000004,52.23752151462995,2253.1753958691943
Delay_30min,713,2415428.5200000014,48.80785413744741,3387.697784011222
VWAP_confirm_delay_5min,731,-1897141.9200000002,46.785225718194255,-2595.269384404925
VWAP_confirm_delay_10min,651,74530.90999999997,48.8479262672811,114.48680491551455
VWAP_confirm_delay_15min,557,617441.840000001,51.526032315978455,1108.5131777378833
